name,year,month,retail_and_recreation_percent_change_from_baseline
Dominican Republic,2020,5,-50.98554913294798
Dominican Republic,2020,6,-33.992492492492495
Dominican Republic,2020,7,-29.980882352941176
Dominican Republic,2020,8,-33.74193548387097
Dominican Republic,2020,9,-30.164948453608247
Dominican Republic,2020,10,-29.15182481751825
Dominican Republic,2020,11,-29.501492537313432
Dominican Republic,2020,12,-22.03469079939668
Dominican Republic,2021,1,-37.88167388167388
Dominican Republic,2021,2,-30.65008025682183
Dominican Republic,2021,3,-25.3248031496063
Ecuador,2020,2,3.116062176165803
Ecuador,2020,3,-36.868530020703936
Ecuador,2020,4,-76.1492281303602
Ecuador,2020,5,-61.34911838790932
Ecuador,2020,6,-40.12587763289869
Ecuador,2020,7,-32.105899419729205
Ecuador,2020,8,-29.183599419448477
Ecuador,2020,9,-19.781685467816853
Ecuador,2020,10,-14.003479125248509
Ecuador,2020,11,-13.418724279835391
Ecuador,2020,12,-7.91570496738585
Ecuador,2021,1,-17.58399209486166
Ecuador,2021,2,-11.628062360801781
Ecuador,2021,3,-7.207366984993179
Egypt,2020,2,1.6785714285714286
Egypt,2020,3,-22.47685683530678
Egypt,2020,4,-53.40236686390533
Egypt,2020,5,-50.468822170900694
Egypt,2020,6,-43.7103694874851
Egypt,2020,7,-23.597432905484247
Egypt,2020,8,-17.285714285714285
Egypt,2020,9,-12.313636363636364
Egypt,2020,10,-11.83025404157044
Egypt,2020,11,-16.523809523809526
Egypt,2020,12,-16.23041474654378
Egypt,2021,1,-19.23041474654378
Egypt,2021,2,-19.207908163265305
Egypt,2021,3,-9.993788819875776
El Salvador,2020,2,-0.8493975903614458
El Salvador,2020,3,-32.44
El Salvador,2020,4,-69.52234636871508
El Salvador,2020,5,-71.25268817204301
El Salvador,2020,6,-57.46478873239437
El Salvador,2020,7,-49.18836565096953
El Salvador,2020,8,-45.9059829059829
El Salvador,2020,9,-29.047430830039527
El Salvador,2020,10,-24.132183908045977
El Salvador,2020,11,-19.214285714285715
El Salvador,2020,12,-5.090116279069767
El Salvador,2021,1,-12.783236994219653
El Salvador,2021,2,-10.54983922829582
El Salvador,2021,3,-6.48828125
Estonia,2020,2,0.863013698630137
Estonia,2020,3,-24.756696428571427
Estonia,2020,4,-49.025
Estonia,2020,5,-16.556701030927837
Estonia,2020,6,6.98019801980198
Estonia,2020,7,20.03960396039604
Estonia,2020,8,14.65925925925926
Estonia,2020,9,2.329192546583851
Estonia,2020,10,2.2146118721461185
Estonia,2020,11,-6.419047619047619
Estonia,2020,12,-11.711711711711711
Estonia,2021,1,-24.622222222222224
Estonia,2021,2,-19.85
Estonia,2021,3,-35.16867469879518
Fiji,2020,2,0.9333333333333333
Fiji,2020,3,-8.741935483870968
Fiji,2020,4,-39.4
Fiji,2020,5,-18.903225806451612
Fiji,2020,6,-13.666666666666666
Fiji,2020,7,-7.451612903225806
Fiji,2020,8,-0.3
Fiji,2020,9,4.090909090909091
Fiji,2020,10,2.4838709677419355
Fiji,2020,11,-0.9
Fiji,2020,12,1.3548387096774193
Fiji,2021,1,-6.193548387096774
Fiji,2021,2,1.0357142857142858
Fiji,2021,3,15.521739130434783
Finland,2020,2,5.166485310119695
Finland,2020,3,-19.826976229961303
Finland,2020,4,-43.2731737262124
Finland,2020,5,-29.233953209358127
Finland,2020,6,0.9152854511970534
Finland,2020,7,15.669652855543113
Finland,2020,8,7.655172413793103
Finland,2020,9,-0.7100371747211895
Finland,2020,10,-6.00880829015544
Finland,2020,11,-8.525377969762419
Finland,2020,12,-12.666129032258064
Finland,2021,1,-24.08222103577149
Finland,2021,2,-17.755257009345794
Finland,2021,3,-23.458363504706735
France,2020,2,1.5242424242424242
France,2020,3,-44.221309069562665
France,2020,4,-81.33728350045578
France,2020,5,-51.1548178613396
France,2020,6,-15.215650591446769
France,2020,7,3.123018203170875
France,2020,8,6.720937700706487
France,2020,9,-6.593850096092249
France,2020,10,-14.460410557184751
France,2020,11,-50.34688922610015
France,2020,12,-24.778625954198475
France,2021,1,-39.91277533039648
France,2021,2,-36.273081924577376
France,2021,3,-34.364463791056586
Gabon,2020,2,-2.2195121951219514
Gabon,2020,3,-16.707865168539325
Gabon,2020,4,-41.06666666666667
Gabon,2020,5,-29.451612903225808
Gabon,2020,6,-22.633333333333333
Gabon,2020,7,-16.13978494623656
Gabon,2020,8,-9.458333333333334
Gabon,2020,9,-7.576271186440678
Gabon,2020,10,-11.688172043010752
Gabon,2020,11,-10.5
Gabon,2020,12,-5.087912087912088
Gabon,2021,1,-17.26086956521739
Gabon,2021,2,-26.86904761904762
Gabon,2021,3,-22.28985507246377
Georgia,2020,2,3.9
Georgia,2020,3,-32.064516129032256
Georgia,2020,4,-74.45
Georgia,2020,5,-62.361111111111114
Georgia,2020,7,-12.672413793103448
Georgia,2020,8,-14.870967741935484
Georgia,2020,9,-10.683333333333334
Georgia,2020,10,-21.661290322580644
Georgia,2020,11,-33.483333333333334
Georgia,2020,12,-48.064516129032256
